,Title,Published_date,Views,Likes,Comments,Month
75,What is the #66DaysOfData?,2020-12-26,67034,2255,208,Dec
76,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,130438,5960,498,Dec
77,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10438,389,136,Dec
78,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22906,714,328,Dec
79,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,25401,789,166,Nov
80,6 Lessons from #66DaysOfData,2020-11-13,6643,340,95,Nov
81,100K Channel Update + AMA Stream!,2020-11-12,2317,127,24,Nov
82,Find a Data Science Project With These 3 Techniques,2020-11-06,15780,681,104,Nov
83,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,24345,634,155,Oct
84,git for Data Science Made Simple... (Hopefully),2020-10-23,17033,800,92,Oct
85,The PODCAST you might have asked for?,2020-10-19,2063,94,44,Oct
86,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6603,444,113,Oct
87,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,12879,378,48,Oct
88,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6245,138,62,Oct
89,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,9647,510,81,Oct
90,Sh*t Data Scientists Say (Parody),2020-10-05,9200,569,143,Oct
91,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8520,366,93,Oct
92,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6976,286,61,Sep
93,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,10952,283,69,Sep
94,5 Essential Data Science Projects for Your Portfolio,2020-09-26,68468,2975,208,Sep
95,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5085,194,66,Sep
96,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10145,407,58,Sep
97,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7254,247,34,Sep
98,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5042,193,56,Sep
99,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4040,155,35,Sep
100,The 5 Pillars of Success I Live By,2020-09-11,10036,869,154,Sep
101,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1874,78,25,Sep
102,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3924,158,43,Sep
103,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11434,725,144,Sep
104,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17647,565,89,Sep
105,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,16881,775,93,Aug
106,Why I'm Starting Data Science Over Again.,2020-08-29,50485,2602,452,Aug
107,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14656,610,76,Aug
108,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12162,443,54,Aug
109,Don't Buy My Course..,2020-08-21,7306,356,148,Aug
110,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28554,1097,166,Aug
111,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3166,127,40,Aug
112,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6191,535,110,Aug
113,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4821,182,39,Aug
114,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,10283,341,53,Aug
115,The Plagiarism Problem in Data Science,2020-08-07,12982,630,150,Aug
116,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14115,597,89,Aug
117,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4775,184,56,Aug
118,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10871,570,90,Jul
119,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2287,115,34,Jul
120,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5463,250,112,Jul
121,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8096,246,200,Jul
122,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1834,98,27,Jul
123,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,27665,552,90,Jul
124,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,270117,6292,399,Jul
125,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29435,1095,120,Jul
126,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3530,133,50,Jul
127,The Best Computer for Data Science Beginners,2020-07-10,35028,811,157,Jul
128,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6057,228,82,Jul
129,Critiquing MY OWN Data Science Resume,2020-07-06,12343,389,90,Jul
130,Where to Start Learning Data Science,2020-07-03,18210,770,126,Jul
131,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3979,196,37,Jul
132,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4469,176,54,Jun
133,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15478,539,79,Jun
134,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2345,82,40,Jun
135,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2371,138,51,Jun
136,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4221,165,46,Jun
137,Why You're Struggling to Learn Data Science,2020-06-12,15069,1006,160,Jun
138,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10563,325,70,Jun
139,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,21991,655,147,Jun
140,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5651,155,53,Jun
141,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,62090,1996,262,May
